codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0034T,"Quibe, soja, mini, s/ tempero, s/ sal, cru",glycine max l.,196 kcal,54.8 g,26.1 g,10.8 g,5.97 g,2.40 g,- g,2.40 g,0.00 mg,0.87 g,1.32 g,3.37 g,0.00 g,84.8 mg,6.91 mg,23.8 mg,18.6 mg,369 mg,757 mg,1.92 mg,nan mg,nan mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.08 mg,0.05 mg,0.68 mg,0.05 mg,0.00 mcg,0.00 mg,83.8 mcg,nan g,0.00 g,
C0959B,"Quibebe, c/ sal", ,78 kcal,82.9 g,6.58 g,8.53 g,2.66 g,1.66 g,0.00 g,1.34 g,9.67 mg,1.04 g,1.10 g,0.24 g,0.06 g,7.74 mg,0.78 mg,373 mg,10.4 mg,42.4 mg,152 mg,1.63 mg,0.60 mg,nan mcg,104 mcg,52.3 mcg,nan mcg,nan mg,tr mg,0.03 mg,nan mg,0.04 mg,nan mcg,tr mg,nan mcg,0.32 g,0.00 g,
C0131B,"Quibebe, s/ sal", ,78 kcal,81.1 g,6.60 g,8.56 g,2.67 g,1.67 g,0.00 g,1.02 g,9.70 mg,1.04 g,1.11 g,0.24 g,0.06 g,7.68 mg,0.78 mg,246 mg,10.4 mg,42.5 mg,152 mg,1.64 mg,0.61 mg,nan mcg,104 mcg,52.5 mcg,nan mcg,nan mg,tr mg,0.03 mg,nan mg,0.04 mg,nan mcg,tr mg,nan mcg,nan g,0.00 g,
C1154A,"Quiche lorraine, assado, c/ sal (massa brise (farinha de trigo, manteiga, gema, leite, c/ açúcar, c/ sal), creme de leite, ovo, queijo parmesão, toucinho defumado (bacon), noz moscada, c/ sal)", ,376 kcal,42.2 g,20.7 g,6.16 g,30.2 g,1.65 g,0.00 g,0.83 g,nan mg,9.51 g,15.7 g,3.27 g,0.36 g,15.2 mg,1.32 mg,99.5 mg,14.3 mg,78.7 mg,221 mg,0.49 mg,0.09 mg,1.80 mcg,110 mcg,109 mcg,0.03 mcg,3.40 mg,0.10 mg,0.01 mg,0.64 mg,0.12 mg,0.20 mcg,4.69 mg,48.7 mcg,nan g,nan g,
C0652A,"Quiche, alho-poró, assado, c/ sal", ,265 kcal,55.1 g,18.2 g,6.76 g,18.5 g,0.83 g,0.00 g,1.41 g,84.5 mg,9.92 g,4.72 g,1.13 g,0.49 g,136 mg,1.48 mg,282 mg,16.0 mg,143 mg,132 mg,0.79 mg,0.07 mg,3.81 mcg,152 mcg,156 mcg,0.40 mcg,0.92 mg,0.08 mg,0.16 mg,0.74 mg,0.04 mg,0.36 mcg,0.70 mg,59.1 mcg,0.47 g,0.21 g,
C0653A,"Quiche, espinafre, assado, c/ sal", ,262 kcal,57.2 g,14.6 g,7.09 g,19.7 g,1.01 g,0.00 g,1.44 g,113 mg,10.6 g,5.03 g,0.59 g,0.57 g,134 mg,1.41 mg,311 mg,17.8 mg,150 mg,126 mg,0.84 mg,0.07 mg,3.74 mcg,188 mcg,167 mcg,0.65 mcg,1.00 mg,0.08 mg,0.14 mg,0.19 mg,0.05 mg,0.33 mcg,0.34 mg,69.6 mcg,0.47 g,0.21 g,
C1153A,"Quiche, quatro queijos, assado (massa brise (farinha de trigo, manteiga, gema, leite, c/ açúcar, c/ sal), creme de leite, ovo, queijos - parmesão, gorgonzola, provolone e muçarela, c/ sal)", ,292 kcal,49.8 g,20.9 g,7.81 g,20.1 g,1.63 g,0.00 g,1.41 g,nan mg,8.99 g,7.96 g,1.07 g,0.36 g,130 mg,1.26 mg,207 mg,16.5 mg,147 mg,224 mg,0.99 mg,0.08 mg,3.32 mcg,142 mcg,141 mcg,0.10 mcg,1.76 mg,0.10 mg,0.05 mg,0.25 mg,0.13 mg,0.34 mcg,4.70 mg,52.5 mcg,nan g,nan g,
C1108A,"Quiche, queijo, assado", ,334 kcal,45.7 g,14.3 g,12.2 g,25.4 g,0.99 g,0.00 g,2.40 g,nan mg,13.8 g,6.64 g,0.71 g,0.76 g,282 mg,1.70 mg,568 mg,17.6 mg,269 mg,112 mg,1.55 mg,0.08 mg,7.31 mcg,163 mcg,159 mcg,0.86 mcg,0.75 mg,0.07 mg,0.21 mg,0.19 mg,0.08 mg,0.59 mcg,0.00 mg,55.7 mcg,nan g,nan g,
C0654A,"Quiche, salmão, assado, c/ sal", ,297 kcal,51.3 g,14.0 g,11.1 g,22.0 g,0.69 g,0.00 g,1.60 g,125 mg,11.2 g,5.71 g,1.39 g,0.58 g,125 mg,1.43 mg,325 mg,18.6 mg,204 mg,182 mg,0.89 mg,0.06 mg,3.73 mcg,152 mcg,149 mcg,3.07 mcg,0.66 mg,0.10 mg,0.13 mg,1.22 mg,0.04 mg,0.66 mcg,0.17 mg,52.7 mcg,0.47 g,0.21 g,
C0031K,Quindim, ,418 kcal,23.9 g,46.3 g,4.74 g,24.4 g,3.22 g,0.00 g,0.61 g,271 mg,11.3 g,4.75 g,4.70 g,0.05 g,37.2 mg,1.38 mg,27.4 mg,14.9 mg,167 mg,111 mg,1.11 mg,0.10 mg,13.0 mcg,82.4 mcg,79.2 mcg,1.68 mcg,1.28 mg,tr mg,0.04 mg,1.14 mg,0.04 mg,0.49 mcg,tr mg,42.1 mcg,nan g,nan g,
C0399A,"Quinoa, grão, cozida, s/ óleo, s/ sal",chenopodium quinoa ,114 kcal,71.6 g,21.3 g,4.40 g,1.92 g,2.80 g,0.00 g,0.77 g,0.00 mg,0.23 g,0.53 g,1.08 g,nan g,17.0 mg,1.49 mg,7.00 mg,64.0 mg,152 mg,172 mg,1.09 mg,0.19 mg,2.80 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.63 mg,0.11 mg,0.11 mg,0.41 mg,0.12 mg,0.00 mcg,0.00 mg,42.0 mcg,0.00 g,0.00 g,
C0398A,"Quinoa, grão, crua",chenopodium quinoa ,354 kcal,13.3 g,64.2 g,14.1 g,6.07 g,7.00 g,0.00 g,2.37 g,0.00 mg,0.71 g,1.61 g,3.29 g,nan g,47.0 mg,4.57 mg,5.00 mg,197 mg,457 mg,563 mg,3.10 mg,0.59 mg,8.50 mcg,nan mcg,1.00 mcg,0.00 mcg,2.44 mg,0.36 mg,0.32 mg,1.52 mg,0.49 mg,0.00 mcg,0.00 mg,184 mcg,0.00 g,0.00 g,
C0514F,"Rabada bovina com batata e agrião, c/ molho de tomate (tomate, c/ óleo, cebola e alho), pimentão, c/ óleo, cebola e alho, c/ pimenta do reino, c/ sal", ,214 kcal,65.6 g,4.76 g,11.8 g,16.7 g,1.06 g,0.00 g,1.17 g,29.5 mg,5.92 g,7.94 g,1.71 g,0.01 g,19.3 mg,1.51 mg,267 mg,10.9 mg,18.7 mg,174 mg,2.54 mg,0.05 mg,0.15 mcg,45.8 mcg,22.9 mcg,0.00 mcg,0.65 mg,0.06 mg,0.17 mg,0.96 mg,0.04 mg,0.00 mcg,10.9 mg,5.38 mcg,0.45 g,0.00 g,
C0515F,"Rabada bovina com batata e agrião, c/ molho de tomate (tomate, c/ óleo, cebola e alho), pimentão, c/ óleo, cebola e alho, c/ pimenta do reino, s/ sal", ,215 kcal,66.0 g,4.79 g,11.8 g,16.7 g,1.07 g,0.00 g,0.73 g,29.5 mg,5.92 g,7.94 g,1.71 g,0.01 g,19.2 mg,1.51 mg,88.2 mg,10.9 mg,18.8 mg,175 mg,2.54 mg,0.05 mg,0.15 mcg,46.0 mcg,23.0 mcg,0.00 mcg,0.66 mg,0.06 mg,0.17 mg,0.96 mg,0.04 mg,0.00 mcg,11.4 mg,5.45 mcg,0.00 g,0.00 g,
C0436A,Rabanada, ,314 kcal,39.7 g,37.5 g,5.83 g,15.8 g,0.65 g,0.00 g,1.10 g,51.8 mg,3.68 g,4.02 g,7.55 g,0.12 g,82.0 mg,1.38 mg,235 mg,14.2 mg,99.6 mg,146 mg,0.63 mg,0.09 mg,7.00 mcg,51.4 mcg,50.8 mcg,0.21 mcg,0.50 mg,0.12 mg,0.38 mg,1.68 mg,0.14 mg,0.33 mcg,tr mg,31.8 mcg,nan g,18.0 g,
C0321B,"Rabanete, c/ casca, cozido, drenado, s/ óleo, c/ sal",raphanus sativus l.,14 kcal,94.8 g,2.99 g,1.12 g,0.08 g,1.80 g,0.00 g,1.02 g,0.00 mg,0.02 g,0.01 g,0.04 g,0.00 g,19.6 mg,0.26 mg,133 mg,5.33 mg,22.3 mg,146 mg,0.13 mg,0.02 mg,0.09 mcg,0.46 mcg,0.23 mcg,0.00 mcg,0.00 mg,0.04 mg,0.01 mg,tr mg,0.03 mg,0.00 mcg,3.82 mg,12.9 mcg,0.32 g,0.00 g,
C0320B,"Rabanete, c/ casca, cozido, drenado, s/ óleo, s/ sal",raphanus sativus l.,14 kcal,95.1 g,3.00 g,1.13 g,0.08 g,1.81 g,0.00 g,0.71 g,0.00 mg,0.02 g,0.01 g,0.04 g,0.00 g,19.6 mg,0.26 mg,6.02 mg,5.34 mg,22.4 mg,146 mg,0.14 mg,0.02 mg,0.09 mcg,0.46 mcg,0.23 mcg,0.00 mcg,0.00 mg,0.04 mg,0.01 mg,tr mg,0.03 mg,0.00 mcg,3.84 mg,13.0 mcg,0.00 g,0.00 g,
C0079B,"Rabanete, c/ casca, cru",raphanus sativus l.,14 kcal,95.1 g,3.00 g,1.13 g,0.08 g,1.81 g,0.00 g,0.71 g,0.00 mg,0.02 g,0.01 g,0.04 g,0.00 g,20.6 mg,0.35 mg,10.9 mg,8.91 mg,24.9 mg,326 mg,0.18 mg,0.02 mg,0.10 mcg,0.51 mcg,0.26 mcg,0.00 mcg,0.00 mg,0.06 mg,0.02 mg,tr mg,0.04 mg,0.00 mcg,9.59 mg,26.0 mcg,0.00 g,0.00 g,
C0030K,Rapadura, ,368 kcal,7.39 g,90.0 g,0.67 g,0.63 g,0.00 g,0.00 g,1.30 g,0.00 mg,nan g,nan g,nan g,nan g,30.4 mg,4.43 mg,21.6 mg,47.0 mg,21.2 mg,457 mg,0.56 mg,0.17 mg,0.09 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,tr mg,tr mg,tr mg,0.04 mg,0.00 mcg,tr mg,0.00 mcg,nan g,nan g,
C0717B,"Ratatouille, vegetais assados, c/ sal", ,76 kcal,86.5 g,5.08 g,1.29 g,6.04 g,2.03 g,0.00 g,1.12 g,0.00 mg,0.91 g,3.93 g,1.10 g,0.00 g,19.4 mg,0.46 mg,251 mg,18.2 mg,31.7 mg,263 mg,0.18 mg,0.09 mg,0.13 mcg,70.5 mcg,41.4 mcg,0.00 mcg,0.61 mg,0.04 mg,0.05 mg,0.16 mg,0.04 mg,0.00 mcg,11.7 mg,18.2 mcg,0.47 g,0.00 g,
C0718B,"Ratatouille, vegetais assados, s/ sal", ,76 kcal,86.7 g,5.10 g,1.29 g,6.06 g,2.03 g,0.00 g,0.81 g,0.00 mg,0.91 g,3.94 g,1.10 g,0.00 g,19.4 mg,0.46 mg,125 mg,18.2 mg,31.8 mg,263 mg,0.18 mg,0.09 mg,0.13 mcg,70.7 mcg,41.5 mcg,0.00 mcg,0.61 mg,0.04 mg,0.05 mg,0.16 mg,0.04 mg,0.00 mcg,11.7 mg,18.3 mcg,0.00 g,0.00 g,
C0982A,"Ravioli verde, c/ recheio de muçarela de búfala e manjericão", ,166 kcal,60.3 g,28.1 g,6.98 g,3.13 g,1.50 g,0.00 g,1.42 g,22.7 mg,1.72 g,0.84 g,0.13 g,0.07 g,35.2 mg,1.71 mg,404 mg,6.94 mg,76.7 mg,61.0 mg,0.65 mg,0.07 mg,4.08 mcg,31.7 mcg,22.9 mcg,0.11 mcg,0.19 mg,0.04 mg,0.02 mg,3.37 mg,0.00 mg,0.23 mcg,0.06 mg,80.6 mcg,nan g,0.00 g,
C0984A,"Ravioli verde, c/ recheio de muçarela de búfala e manjericão, c/ molho branco, c/ sal", ,163 kcal,62.5 g,24.9 g,6.38 g,4.48 g,1.24 g,0.00 g,1.74 g,24.0 mg,2.56 g,1.20 g,0.16 g,0.10 g,51.6 mg,1.45 mg,517 mg,8.05 mg,80.7 mg,79.0 mg,0.62 mg,0.06 mg,4.40 mcg,51.3 mcg,43.9 mcg,0.34 mcg,0.18 mg,0.04 mg,0.07 mg,3.02 mg,0.00 mg,0.26 mcg,0.05 mg,64.5 mcg,nan g,0.00 g,
C0983A,"Ravioli verde, c/ recheio de muçarela de búfala e manjericão, c/ molho de tomate, c/ sal", ,147 kcal,64.8 g,23.8 g,5.93 g,3.53 g,1.70 g,0.00 g,1.92 g,18.2 mg,1.53 g,0.91 g,0.71 g,0.06 g,30.6 mg,1.46 mg,582 mg,8.70 mg,68.7 mg,109 mg,0.57 mg,0.08 mg,3.33 mcg,52.1 mcg,31.7 mcg,0.08 mcg,0.38 mg,0.05 mg,0.02 mg,2.70 mg,0.01 mg,0.18 mcg,4.03 mg,67.7 mcg,nan g,0.00 g,
C0629A,"Ravioli, c/ carne moída refogada, c/ molho de tomate, caseiro, c/ sal", ,149 kcal,66.8 g,24.2 g,6.96 g,3.07 g,1.67 g,0.00 g,1.15 g,20.4 mg,1.01 g,0.94 g,1.01 g,0.02 g,9.88 mg,1.68 mg,263 mg,7.55 mg,57.2 mg,131 mg,1.09 mg,0.08 mg,2.84 mcg,32.0 mcg,18.4 mcg,0.07 mcg,0.35 mg,0.07 mg,0.03 mg,3.16 mg,0.02 mg,0.36 mcg,4.11 mg,65.9 mcg,0.47 g,0.00 g,
C0628A,"Ravioli, c/ carne moída refogada, s/ molho, caseiro, c/ sal", ,166 kcal,59.7 g,29.3 g,7.77 g,2.25 g,1.49 g,0.00 g,0.98 g,24.1 mg,0.97 g,0.78 g,0.41 g,0.02 g,9.55 mg,1.98 mg,224 mg,5.05 mg,58.1 mg,80.6 mg,1.12 mg,0.07 mg,3.44 mcg,5.98 mcg,5.97 mcg,0.08 mcg,0.14 mg,0.05 mg,0.02 mg,3.95 mg,0.00 mg,0.36 mcg,0.04 mg,80.3 mcg,0.47 g,0.00 g,
C0093N,"Refresco em pó, não preparado, diet", ,327 kcal,7.84 g,81.4 g,0.45 g,0.04 g,0.10 g,0.00 g,10.3 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1047 mg,0.08 mg,404 mg,3.00 mg,1239 mg,498 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,560 mg,0.00 mcg,0.00 g,0.00 g,
C0047N,"Refrigerante, c/ adoçante (média de diferentes sabores)", ,0 kcal,99.8 g,0.11 g,0.00 g,0.00 g,0.00 g,0.00 g,0.09 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.23 mg,0.67 mg,14.4 mg,tr mg,8.97 mg,13.0 mg,tr mg,tr mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0028H,"Refrigerante, regular, c/ açúcar (média de diferentes amostras)", ,39 kcal,90.2 g,9.73 g,0.00 g,0.00 g,0.00 g,0.00 g,0.05 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.59 mg,tr mg,8.12 mg,0.35 mg,3.66 mg,4.71 mg,tr mg,tr mg,0.10 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,nan g,
C0048N,"Refrigerante, tipo água tônica, c/ adoçante", ,0 kcal,99.8 g,1.42 g,0.10 g,0.00 g,0.00 g,0.00 g,0.10 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.08 mg,tr mg,12.8 mg,tr mg,0.15 mg,1.51 mg,tr mg,tr mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0029H,"Refrigerante, tipo água tônica, regular, c/ açúcar", ,32 kcal,92.0 g,7.95 g,0.00 g,0.00 g,0.00 g,0.00 g,0.04 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.08 mg,tr mg,6.95 mg,tr mg,0.15 mg,1.51 mg,tr mg,tr mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,nan g,
C0049N,"Refrigerante, tipo cola, c/ adoçante", ,1 kcal,99.7 g,0.23 g,0.00 g,0.00 g,0.00 g,0.00 g,0.03 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.37 mg,tr mg,10.1 mg,tr mg,16.7 mg,0.90 mg,tr mg,tr mg,0.10 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0030H,"Refrigerante, tipo cola, regular, c/ açúcar", ,35 kcal,91.3 g,8.66 g,0.00 g,0.00 g,0.00 g,0.00 g,0.06 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.37 mg,tr mg,6.15 mg,tr mg,16.7 mg,0.90 mg,tr mg,tr mg,0.10 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,nan g,
C0050N,"Refrigerante, tipo guaraná, c/ adoçante", ,0 kcal,99.8 g,1.42 g,0.10 g,0.00 g,0.00 g,0.00 g,0.10 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.41 mg,tr mg,13.9 mg,tr mg,tr mg,1.38 mg,tr mg,tr mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0031H,"Refrigerante, tipo guaraná, regular, c/ açúcar", ,40 kcal,90.0 g,10.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.04 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.41 mg,tr mg,8.34 mg,tr mg,tr mg,1.38 mg,tr mg,tr mg,0.10 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,nan g,
C0051N,"Refrigerante, tipo laranja, c/ adoçante", ,0 kcal,99.8 g,1.42 g,0.10 g,0.00 g,0.00 g,0.00 g,0.10 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,2.34 mg,tr mg,9.27 mg,1.21 mg,1.47 mg,15.5 mg,tr mg,tr mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0032H,"Refrigerante, tipo laranja, regular, c/ açúcar", ,47 kcal,88.2 g,11.8 g,0.00 g,0.00 g,0.00 g,0.00 g,0.04 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,2.34 mg,tr mg,8.96 mg,1.21 mg,1.47 mg,15.5 mg,tr mg,tr mg,0.00 mcg,0.00 mcg,0.00 mcg,nan mcg,nan mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,nan g,
C0052N,"Refrigerante, tipo limão, c/ adoçante", ,0 kcal,99.8 g,1.42 g,0.10 g,0.00 g,0.00 g,0.00 g,0.10 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.75 mg,tr mg,17.9 mg,0.53 mg,tr mg,4.27 mg,tr mg,tr mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,0.00 g,
C0033H,"Refrigerante, tipo limão, regular, c/ açúcar", ,41 kcal,89.7 g,10.3 g,0.00 g,0.00 g,0.00 g,0.00 g,0.05 g,0.00 mg,0.00 g,0.00 g,0.00 g,0.00 g,1.75 mg,tr mg,9.26 mg,0.53 mg,tr mg,4.27 mg,tr mg,tr mg,0.10 mcg,0.00 mcg,0.00 mcg,nan mcg,nan mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mcg,0.00 mg,0.00 mcg,0.00 g,nan g,
C0260B,"Repolho, branco, cozido, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal",brassica oleracea l. var. capitata,56 kcal,87.8 g,6.48 g,2.31 g,2.60 g,1.07 g,0.00 g,0.84 g,3.69 mg,1.02 g,0.65 g,0.68 g,0.01 g,62.1 mg,0.20 mg,209 mg,8.80 mg,38.7 mg,124 mg,0.24 mg,0.05 mg,1.55 mcg,108 mcg,63.8 mcg,0.00 mcg,0.91 mg,0.02 mg,0.09 mg,0.45 mg,0.03 mg,0.00 mcg,6.97 mg,24.9 mcg,0.47 g,0.00 g,
C0259B,"Repolho, branco, cozido, c/ molho branco (leite, manteiga e farinha de trigo), s/ sal",brassica oleracea l. var. capitata,57 kcal,88.2 g,6.53 g,2.33 g,2.61 g,1.08 g,0.00 g,0.38 g,3.71 mg,1.03 g,0.66 g,0.68 g,0.01 g,62.3 mg,0.20 mg,21.8 mg,8.84 mg,38.9 mg,124 mg,0.24 mg,0.05 mg,1.56 mcg,108 mcg,64.1 mcg,0.00 mcg,0.91 mg,0.02 mg,0.09 mg,0.45 mg,0.03 mg,0.11 mcg,7.00 mg,25.0 mcg,0.00 g,0.00 g,
C0218B,"Repolho, branco, cozido, drenado, c/ óleo de soja, c/ sal",brassica oleracea l. var. capitata,44 kcal,91.3 g,3.94 g,1.50 g,2.71 g,1.25 g,0.00 g,0.51 g,0.00 mg,0.36 g,0.66 g,1.56 g,0.01 g,36.2 mg,0.11 mg,130 mg,6.54 mg,14.5 mg,100 mg,0.13 mg,0.05 mg,0.00 mcg,108 mcg,54.2 mcg,0.00 mcg,1.06 mg,tr mg,0.02 mg,tr mg,0.04 mg,0.00 mcg,8.51 mg,24.2 mcg,0.32 g,0.00 g,
C0217B,"Repolho, branco, cozido, drenado, c/ óleo de soja, s/ sal",brassica oleracea l. var. capitata,44 kcal,91.6 g,3.95 g,1.50 g,2.72 g,1.25 g,0.00 g,0.20 g,0.00 mg,0.25 g,0.01 g,0.74 g,0.00 g,36.2 mg,0.11 mg,2.42 mg,6.56 mg,14.6 mg,101 mg,0.13 mg,0.05 mg,0.00 mcg,108 mcg,54.3 mcg,0.00 mcg,1.06 mg,tr mg,0.02 mg,tr mg,0.04 mg,0.00 mcg,8.54 mg,24.2 mcg,0.00 g,0.00 g,
C0148B,"Repolho, branco, cozido, drenado, s/ óleo, c/ sal",brassica oleracea l. var. capitata,23 kcal,93.6 g,4.04 g,1.54 g,0.34 g,1.28 g,0.00 g,0.52 g,0.00 mg,0.00 g,0.11 g,0.13 g,0.00 g,37.1 mg,0.11 mg,130 mg,6.70 mg,14.9 mg,103 mg,0.13 mg,0.05 mg,0.00 mcg,111 mcg,55.7 mcg,0.00 mcg,0.79 mg,tr mg,0.02 mg,tr mg,0.04 mg,0.00 mcg,8.69 mg,24.7 mcg,0.32 g,0.00 g,
C0056B,"Repolho, branco, cozido, drenado, s/ óleo, s/ sal",brassica oleracea l.,23 kcal,93.9 g,4.05 g,1.54 g,0.34 g,1.28 g,0.00 g,0.20 g,0.00 mg,0.00 g,0.11 g,0.13 g,0.00 g,37.1 mg,0.11 mg,2.48 mg,6.72 mg,14.9 mg,103 mg,0.13 mg,0.05 mg,0.00 mcg,111 mcg,55.7 mcg,0.00 mcg,0.79 mg,tr mg,0.02 mg,tr mg,0.04 mg,0.00 mcg,8.75 mg,24.8 mcg,0.00 g,0.00 g,3411281.0
C0161B,"Repolho, branco, refogado (c/ óleo, cebola e alho), c/ sal",brassica oleracea l. var. capitata,36 kcal,90.6 g,5.72 g,1.42 g,1.36 g,2.30 g,0.00 g,0.90 g,0.00 mg,0.24 g,0.31 g,0.75 g,0.01 g,45.1 mg,0.18 mg,131 mg,13.5 mg,22.5 mg,249 mg,0.22 mg,0.07 mg,0.03 mcg,98.9 mcg,49.4 mcg,0.00 mcg,0.39 mg,tr mg,0.04 mg,tr mg,0.08 mg,0.00 mcg,15.3 mg,27.6 mcg,0.32 g,0.00 g,
C0160B,"Repolho, branco, refogado (c/ óleo, cebola e alho), s/ sal",brassica oleracea l. var. capitata,36 kcal,90.9 g,5.74 g,1.42 g,1.37 g,2.31 g,0.00 g,0.58 g,0.00 mg,0.24 g,0.31 g,0.75 g,0.01 g,45.2 mg,0.18 mg,3.85 mg,13.5 mg,22.5 mg,250 mg,0.22 mg,0.07 mg,0.03 mcg,99.2 mcg,49.6 mcg,0.00 mcg,0.40 mg,tr mg,0.04 mg,tr mg,0.08 mg,0.00 mcg,15.3 mg,27.7 mcg,0.00 g,0.00 g,
C0033B,"Repolho, cru",brassica oleracea l.,20 kcal,93.8 g,4.42 g,1.12 g,0.14 g,1.92 g,0.00 g,0.48 g,0.00 mg,0.05 g,0.02 g,0.02 g,0.00 g,39.3 mg,0.14 mg,3.32 mg,11.3 mg,16.7 mg,208 mg,0.17 mg,0.05 mg,0.00 mcg,100 mcg,50.2 mcg,0.00 mcg,0.21 mg,tr mg,0.04 mg,tr mg,0.07 mg,0.00 mcg,22.0 mg,34.1 mcg,0.00 g,0.00 g,3411281.0
C0928B,"Repolho, roxo, cozido, drenado, s/ óleo, c/ sal", ,29 kcal,90.6 g,6.92 g,1.51 g,0.09 g,2.59 g,0.00 g,0.94 g,0.00 mg,0.01 g,0.01 g,0.04 g,0.00 g,41.9 mg,0.66 mg,155 mg,16.9 mg,32.9 mg,261 mg,0.25 mg,0.05 mg,2.29 mcg,nan mcg,nan mcg,0.00 mcg,0.12 mg,0.07 mg,0.06 mg,0.38 mg,0.22 mg,0.00 mcg,34.3 mg,23.9 mcg,0.32 g,0.00 g,
C0927B,"Repolho, roxo, cozido, drenado, s/ óleo, s/ sal", ,29 kcal,90.8 g,6.94 g,1.51 g,0.09 g,2.60 g,0.00 g,0.62 g,0.00 mg,0.01 g,0.01 g,0.04 g,0.00 g,42.0 mg,0.66 mg,28.0 mg,17.0 mg,33.0 mg,262 mg,0.25 mg,0.05 mg,2.30 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.12 mg,0.07 mg,0.06 mg,0.38 mg,0.23 mg,0.00 mcg,34.4 mg,24.0 mcg,0.00 g,0.00 g,
